,Subtype,FAT2,KRT5,CPA1,CTRB2,CPB1,CELA3A,CTRB1,CPA2,REG1B,CTRC,AMY2A,CEL,KRT14,DNER,TNNT3,RHCG,H19,TENM2,KRT13,KRT6A,IGKV1-12,MUC2,SPINK4,TM4SF20,KRT20,B3GNT6,REG4,BTNL3,HMGCS2,GPA33,ADGRG7,ITLN1,GUCY2C,MUC17,SLC13A2,PRAP1,FEZF1,BTNL8,APOBEC1,TFF1,PHGR1,MYO7B
s1,Consensus_class_1,-0.966189518379335,-0.966189518379335,0.192503118482764,-0.966189518379335,-0.966189518379335,-0.966189518379335,0.192503118482764,0.192503118482764,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,0.192503118482764,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,0.192503118482764,-0.966189518379335,-0.966189518379335,2.95591606253823,-0.966189518379335,0.192503118482764,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,-0.966189518379335,1.68195680372879,-0.966189518379335,2.40483688217628,-0.966189518379335,-0.966189518379335
s2,Consensus_class_1,-1.60998869592376,-1.29829277649356,-1.66387315592855,-0.434357501395334,-0.775170550789475,-1.330262947793,-1.66387315592855,-1.66387315592855,-1.66387315592855,-0.97162470086256,-1.04317698727608,-0.156009728916242,-1.51171131422341,-1.06220825787729,-1.41807514925304,-1.17628776137903,-1.14433349398859,-1.31790106494352,-0.693490137855168,-0.285197351684671,-1.66387315592855,-0.767512175117797,-0.552582706722498,0.0911591052237956,-1.26561438892711,-1.13167340616315,0.800152205734744,-1.32196841388828,-0.150966672083386,-0.412726549829735,0.608357991121914,-0.630317990546826,-1.1960941162538,-1.30991698271423,-1.66387315592855,-0.810884464959996,-1.54349537277381,-1.25874293479263,-0.663801609362236,0.9752698507641,-0.835934871286423,0.619016501827533
s3,Consensus_class_1,-1.53069077019969,-1.53069077019969,-0.864900737282961,-0.864900737282961,-0.864900737282961,-1.53069077019969,-0.864900737282961,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-0.619829276642041,-0.311863391098748,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,0.634130115107707,-1.53069077019969,-1.53069077019969,3.11242884335803,-1.53069077019969,-1.53069077019969,-1.53069077019969,-1.53069077019969,-0.864900737282961,-1.53069077019969,1.86572480928234,-1.53069077019969,-0.864900737282961,-0.19992815170934,0.382409216843633,0.382409216843633,3.12225219896397,-0.447205597263137,2.03053639107802
s4,Consensus_class_1,-1.58891617078995,-1.50782208916351,-0.700672741384807,-0.932421670907386,-0.801215739181458,-1.41852569022354,-1.65468803262979,-0.909971218502399,-1.65468803262979,-0.551334682032569,-1.48103415859725,-0.760124901888683,-1.39295789009955,-1.65468803262979,-1.58891617078995,-1.65468803262979,-0.919836974648986,-0.116410331694291,2.20955736713069,0.0365642912620525,-1.40969464645348,-1.26472207359466,0.449906151416213,0.17893319620068,-1.40118242811054,-1.13178222373555,3.34637659570289,0.0818723190679394,-1.49386017089659,-0.856368646729212,-0.402128856359503,-0.429877002334638,0.352468399517272,2.33269684686743,-0.600779658305611,-1.1205380407764,-0.120010667218787,0.92390342895598,-0.586264553056789,2.78034955266652,0.639210054557129,1.46548000517902
s5,Consensus_class_1,-1.4246463572559,-1.63290795719601,0.317828773990942,-1.63290795719601,-0.333912391394847,-0.971247259966622,-0.830509217887471,-1.63290795719601,-1.57259562644734,-1.63290795719601,-1.49820277586779,-1.09893240411392,-1.46266628356834,-1.63290795719601,-1.63290795719601,-1.63290795719601,-0.998320355488819,-0.484594659699421,-1.27463981381782,-1.63290795719601,-0.202805861959184,-1.46266628356834,-0.938701314541306,2.51078820981457,-1.49820277586779,-1.63290795719601,1.53942749146122,-0.14391023995959,1.54988176861992,0.312744598962131,0.435280479053837,-0.479268717582222,0.911493370226296,2.85091535922369,0.819914218954619,0.474580486202038,-1.41620488253198,1.05620338226107,-0.481393964674916,1.70209850123986,-0.381717772701612,1.49667530445792
s6,Consensus_class_1,-1.61099262094993,-1.06360906103672,-1.61099262094993,-0.219130900074575,-1.61099262094993,-1.61099262094993,-1.61099262094993,-1.61099262094993,-1.61099262094993,-1.11277632573167,-0.889118795975893,-1.34224923164358,-1.32257840409657,-1.36355877093728,-1.61099262094993,-1.61099262094993,-0.818130595542863,-1.18662620242788,-0.76023363073699,0.154018254325118,-1.30423032505312,-0.373860362838424,-0.87289735125294,-1.44371133924516,-1.61099262094993,-1.19932531184708,2.67006000983474,-1.53604286648905,0.741603770313898,-0.195731319145246,-0.860255609020717,-1.01921127020488,-1.24764866127049,0.800616888876741,-1.61099262094993,-1.38697495268555,-1.61099262094993,0.272779835758414,-0.424217546925151,2.54573916528574,-0.674766760502259,0.0067415276330912
s7,Consensus_class_1,-1.73307361996211,-1.2742771252618,-0.735831278827806,-1.73307361996211,-1.73307361996211,-1.73307361996211,-1.73307361996211,-1.2742771252618,-1.73307361996211,-1.22099264648469,-1.37675905138952,-0.122650271894528,-1.58133797519629,-1.21683406962826,-1.73307361996211,-1.36449570198112,-0.823883206171658,-0.744645495865005,-0.7663021075309,0.464265487598206,-0.536134701900073,-0.762641849372283,-0.844306988308913,-1.30373225181241,-1.47994395376354,-1.45441903575975,1.45373968240263,-1.38306423188278,-0.89853273814592,-0.490824037534904,-0.945716712712498,-1.18487130536869,-0.876262537433987,1.94624164409029,-0.716849516917656,-0.711766796594083,-1.20458446457178,0.260502588596478,-0.528374033273555,1.58329003481218,-1.20057369998016,1.07540217180257
s8,Consensus_class_1,-1.18835071822242,2.07550080930969,-1.10249672940404,-1.14135304613561,-0.599493687967897,-1.45474620974241,-1.41747351566749,-1.48625332589158,-1.67815789721539,-1.05476785550827,-1.13688790352142,-0.128167443604094,0.902586691147494,-0.9668145426824,-1.45474620974241,-1.33944554704993,-0.799585920864898,-1.21367892057981,-0.458377329624893,2.69630041082106,-0.973376419262007,1.22248698603223,-0.809613348590815,1.5610611568987,1.93698329172587,-1.33944554704993,1.24199329379969,0.829305643543566,1.31159366147999,1.69526760145722,1.0150124136708,-0.775180228052906,1.14588685877009,2.40991897631901,1.60720614140664,0.912528260368886,-1.6457244595379,1.35194924342877,-0.447930885899888,0.498082990275201,1.11797652875817,1.89437479203054
s9,Consensus_class_1,-1.6028690706279,-1.53102299780829,-0.979546091561501,-1.53102299780829,-1.53102299780829,-1.23343801212658,-1.53102299780829,-1.6028690706279,-1.53102299780829,-1.12420492241161,-0.816549775782001,-0.742689149292232,-1.459354145406,-1.3001499717614,-0.772137049905253,-0.994447035998979,0.256120319234322,-1.02972019594764,-0.710065505047284,-0.0491942992027153,-1.30856112862928,-1.09981837967957,-1.53102299780829,0.875256317663271,0.367969429514756,-1.6028690706279,2.91981488113076,0.745908704839577,0.449785265634167,0.0258887606259631,0.467942386261028,-0.226727313436556,0.776786535252836,2.47280313981433,-1.6028690706279,0.638987902789074,-1.08125106285915,1.24813603782205,-0.282185426354717,1.78601296034363,-0.733186964073639,1.8136030940027
s10,Consensus_class_1,-0.532654810982789,-0.0557060420675975,-1.39750213463726,-1.39750213463726,-1.39750213463726,-1.6181150867734,-1.6181150867734,-1.6181150867734,-1.39750213463726,-1.39750213463726,-1.6181150867734,-0.943061161300251,-1.6181150867734,-1.3073345820459,-1.6181150867734,-1.39750213463726,-1.6181150867734,-0.673374235562132,-0.693401596825865,-0.104243301713873,-1.6181150867734,-1.6181150867734,-0.975498632124409,-1.6181150867734,-1.0473848691113,-0.599131315413189,1.78992195898176,-0.274384713181776,1.09691715595591,-0.444165496283983,-0.912506149610999,0.870556435881731,-1.6181150867734,1.76436741820454,-1.39750213463726,-1.6181150867734,-0.804851619610234,-0.147454250343434,0.134677075768614,3.68163536606254,-0.856107275341583,-0.296180939303638
