,Subtype,EPYC,KRT14,LRRC15,OMD,MFAP5,SFRP2,ADAM12,IGKV1-12,COL11A1,FAM180A,FNDC1,GALNT15,POSTN,COL10A1,FIBIN,COL1A1,WT1,COL1A2,CMKLR2,TIMP3,XIRP1,COL3A1,MEDAG,MAGEL2,FN1,COL6A3,IGFL2,ST6GAL2,HSD17B6,GREM1,MUC2,SPINK4,VTN,SLC6A19,APOB,PGC,ITLN1,SLC28A2,GP2,ALB,PSAPL1,PDIA2,REG4,REG1B,A4GNT,C2CD4B,SLC13A2,AKR1C4,SLC19A3,TFF2,MT1H,REG3A,PRAP1,MAP3K20-AS1,SLC39A5,TM4SF20,MT1G,HPN,SH2D6,POU2AF2
s1,Consensus_class_1,-0.0297070590303551,-0.393917831638281,6.79249630730211E-08,5.24234161465006E-10,1.03403201382341E-08,0.522760746928082,0.104990693359376,-0.277566264453012,0.367058522028282,-0.0010806390016931,0.60910227252968,-0.311623065242441,0.076822853711667,1.40752285189995,1.14014857772804E-10,2.22750327722808,-0.0177447798443011,3.37665935304707,-0.343337695213091,0.456826750301605,-0.391709986040171,1.50197629147271,-0.306197283278964,-0.0289707048894846,1.42998726050397,2.02235195323135,-0.0072176552279583,7.10319116111132E-12,-0.0506103219092905,1.85794022467153E-10,-1.5912116008338E-05,-2.67801086504125E-14,-0.286916250679319,-0.262214814424743,-3.30154885061902E-05,-0.45563493957847,-4.38133180299879E-08,-0.764041452088611,-0.44411328697092,-0.669878022974677,-0.348340801182829,-0.167956703814766,-1.84958467207795E-07,-0.545692803736273,-0.998903308011607,-0.353730982078871,-0.144257048950399,-0.146914383962585,-0.175792122283237,-0.18722126746748,-0.318555847978242,-0.673438602191562,-1.82918748721358E-10,-0.182694540575945,-0.0648117352824683,-1.51808345310322E-08,-2.62538385495437E-11,-2.76206416183974E-05,-0.353730982078871,-0.24028695362353
s2,Consensus_class_1,-0.0366513496798686,-0.217202913109502,3.67060553496255E-09,1.65263057076951E-09,4.24371023775243E-09,0.146990855834632,2.37162580368435E-07,-0.309680355042176,0.499300758677814,-0.0001254872210601,0.173592400621225,-0.293333455580045,0.0001229132363176,0.733152056616453,6.54418743056102E-08,1.92843321978702,-0.0373420497271263,2.8439890773517,-0.239916814878951,0.293779730993519,-0.0804772956417067,1.26366611636649,-0.293333455580045,-0.0504424616901424,2.10955306801053,1.60845554198157,-0.0066880030190622,4.2454201470409E-10,-0.0341796779141714,1.18127178628428E-09,-0.357846694444821,-0.864383405244391,-0.241020730556185,-0.339745946661883,-0.285695407613115,-0.439644658720367,-0.879836225658085,-0.458555250934509,-9.86987508290745E-12,-0.0014832546007963,-0.364234986355361,-0.0306573556281346,-0.55723723018237,-3.39101605201088E-79,-0.855203051223059,-0.192241188833656,-0.346910443291481,-0.339745946661883,-0.0988437202828673,-0.0480304480373296,-0.260569143630769,-1.08676482429365E-05,-2.76096131648881E-06,-0.321898337142086,-0.205296360141123,-0.431089208642239,-2.79884473762828E-09,-0.178498539173798,-0.278565854828866,-0.304528695175016
s3,Consensus_class_1,-0.0506198026333511,-0.516239273636654,0.0578372873745819,1.74083397701587E-08,1.18603135679338E-07,0.938021795361831,4.55392603274837E-07,-0.516239273636654,0.744690347158904,-0.0005335671320524,0.233802821447713,-0.360916465768568,2.25196234881734E-05,1.59803819365752,2.11319034505935E-07,2.46160800085882,-0.0654994210944449,3.57522495713943,-0.257856734393335,0.96759270686695,-0.0857082540599338,1.60757394522213,-0.360916465768568,-0.0245686041402221,1.87821210697055,1.98074005605905,-0.0556698079055626,1.48906365742279E-09,-0.126931801868686,5.44262398424192E-11,-0.821063889095455,-0.99297737485334,-0.257856734393335,-0.301153137796648,-0.274528585083393,-0.0047302111100867,-0.952991821695141,-0.817285531363104,0,-0.0001467157496945,-0.405164042772596,0.489324715175877,-0.0735487447382276,0,-0.0397639784198951,0.119219898407235,-0.516239273636654,-0.516239273636654,-0.227817232517808,-0.073392155108803,0.0397858656434162,-2.74959575675409E-77,-1.09130478278765,-0.516239273636654,0.26818217230217,-0.479155292162747,0,-1.67485454619595E-07,-0.405164042772596,-0.301153137796648
s4,Consensus_class_1,-0.0306370203355344,-0.628389649894726,2.42497831123328E-08,5.98630441546304E-09,9.3063545129387E-08,0.741751788884381,0.0549281946028249,-0.628389649894726,1.66377356736243,-0.0875019679477929,1.28907059102363,-0.451024530022443,0.871459191821802,1.27290222242254,5.6940577812891E-07,3.31967592351357,-0.109854031219962,2.99852309611981,-0.628389649894726,1.07008315854611,-0.147512388466328,2.13924966501087,-0.255199754026579,-0.0314364040030155,2.1127150400233,2.46509272242821,-0.132264299669957,0.0052965651605534,-0.0568956146032886,0.767405942752572,-0.0772953674641831,-0.972400581903995,-0.628389649894726,-0.131124310347672,-0.592611056424316,-0.0508861376736312,-0.136617727745017,-0.688008706284197,-0.0076073602240854,-0.65677863192813,-0.628389649894726,-0.451024530022443,-0.362985669062778,-0.612082235572773,-0.992812762899442,-0.38171894781964,-0.021093050167199,-0.451024530022443,-0.730017419210664,-0.0775588319577996,-0.451024530022443,-0.424772545298468,-0.838094155923457,-0.451024530022443,-0.451024530022443,-0.189814260894241,-3.44326673354848E-10,-9.58097150810801E-06,-0.451024530022443,-0.628389649894726
s5,Consensus_class_1,-0.0379279303175413,-0.247900116524708,0.0193733471765461,1.97630309847385E-08,0.0616101119005141,2.17699649554978E-29,0.471910964309996,-0.247900116524708,0.758337413547848,-0.145556333237186,1.12218434206534,-0.247900116524708,1.61618349859046E-05,0.268521881089263,7.83063286252961E-10,2.78572194499929,-0.575549515546193,2.6089883601816,-0.247900116524708,0.203195476312923,-0.040293444149311,0.227237906906121,-0.147978889687653,-0.0551717009499898,1.6187171435196,2.06649711288981,-0.348214670259763,0.212926357435495,-0.605239893059987,0.0376644110816072,-0.78921569556491,-0.916689178767946,0.168285633857355,-0.147978889687653,-1.94492062479092E-10,-0.460578535236173,-0.336715309535904,-0.772451957277887,-0.433660395082997,-4.69685214619535E-70,-0.247900116524708,-0.247900116524708,-0.720532006657136,-0.648088849748912,-0.944654463068194,-0.110612950939472,-0.247900116524708,0.0144543939071654,-0.0001302745622418,-0.909189029411121,-0.247900116524708,-0.709516515577344,-0.335930772732834,-0.247900116524708,0.0144543939071654,-0.0016538217128676,0,-3.46637479802609E-07,-0.247900116524708,-0.147978889687653
s6,Consensus_class_1,-0.0316151957664475,-0.384481783367289,4.87576978339486E-10,2.26169607686451E-08,0.0302023002729243,0.856392924199878,0.321236802224734,-0.0852529304412801,1.05885876082737,-0.0010922538458374,0.414444976284611,-0.307880847237892,6.10326529940026E-06,1.21745582405381,1.85109452313398E-10,2.54584872069181,-0.0206992283141688,3.47148208782724,-0.357067229018035,0.735460503243505,-0.68030205172486,1.70090595866105,-0.196096840171792,-0.0439355847262017,1.91795079911806,1.77673270053223,-0.202962868998462,3.27851892649969E-08,-0.0059021592322009,3.64568277783118E-09,-0.808472744018163,-0.964952690226093,-0.366595405382428,-0.395187071773681,-0.329352515715229,-0.427809545532874,-0.926848040834561,-0.0783350052188239,-0.76339753911009,-0.463574404197592,-0.432141453483942,-0.180818771082605,-0.0010120770286961,-0.501740903764178,-0.986385730896669,-0.338696596452801,-0.432141453483942,-0.283257694245028,-0.348165569658342,-0.487204626700344,-0.432141453483942,-0.727689170911992,-0.934712145133762,-0.321601363508093,-0.382168173202043,-0.673630331832631,-0.0305897459703823,-0.36745986867337,-0.361663044498282,-0.337529290691674
s7,Consensus_class_1,-0.0306287677863565,-0.374062465855373,0.15205265158199,0.0336246265318734,1.77369994329219E-08,1.23127103246788,0.523647884959721,-0.489776021794582,0.665898730781118,-0.0002402893233581,0.863471792815694,-0.283801085752109,0.800859053683427,1.08597554180443,0.002591650081258,3.45895893578491,-0.109383526819521,3.11141929593069,-0.459671154996112,0.800032269427768,-0.0956794884882573,2.22280904743922,-0.11266173502668,-0.0760064257071859,3.09936045283307,2.68254860474678,-0.0448760315085458,5.14415187990386E-10,-0.0152651130264021,0.079490334799494,-0.123095626096167,-0.935768396308366,-0.504651282655869,-0.265843149430245,-0.279074021913943,-0.0484669993135381,-0.234724918646929,-0.706065196113345,-2.04785841259689E-09,-0.694157213120839,-0.441827896706286,-0.209149617468318,-0.0001676865189932,-0.489499671482132,-0.907077065140551,-0.359401343770683,-0.306996306137511,-0.421558766122164,-0.151066489594892,-1.44260537853283E-06,-0.298958991567701,-0.000140000771207,-0.368282999725544,-0.22591517067418,-0.242365466943876,-0.13072730606824,-3.40188579904244E-08,-0.130902583267361,-0.379253629126581,-0.305827689478328
s8,Consensus_class_1,-0.0334602683898718,-0.285224925343086,0.196467061779629,2.31472304369883E-12,5.95566148765851E-08,1.40791532802375,0.316852141339596,-0.367287462249256,1.63415344165895,-5.94166795735417E-05,0.723593789165735,-0.351027056617194,0.0161858708790106,1.29135452767372,0.159645981730466,3.17965855255296,-0.26315438619046,3.43184630849075,-0.282195611992854,0.442883267790933,-0.67435254423452,1.69022356589298,-0.367287462249256,-0.039690496186121,1.5123558157173,2.07690814955423,-0.359143180211221,1.07033145462055E-07,-0.0414751057415063,0.499730373685927,-0.781011720624745,-0.950861285466706,-0.161431398552977,-0.147266449053698,-0.543520445378915,-0.141208090768997,-0.914129244547597,-0.791351348641625,-0.865563021381204,-0.440736084492649,-0.207929065299596,0.277775614859422,-0.0024991531543846,-0.657060260182516,-0.376014101206961,-0.367287462249256,-0.244273386094811,-0.367287462249256,-0.202813313992367,-2.35779700608E-08,-0.367287462249256,-0.72206693632901,-0.483656741020718,-0.227134726167666,0.209378668304222,-0.220646791758213,-1.17851498362511E-05,-0.092014840394163,-0.269821534585521,-0.25899513894204
s9,Consensus_class_1,-0.294676838017883,-0.220264898588794,0.0301148844704542,5.35072380172904E-09,4.49226771402784E-08,0.679778752209917,5.15330569202062E-07,-0.214981857719296,0.724696907343772,-7.45708353109399E-05,0.244559707218659,-0.188402070484626,4.78326931304396E-06,0.671523384160189,8.70198615270262E-09,2.33251545998361,-0.0265310396352203,3.10596668272404,-0.319203983027845,7.54979899881331E-14,-0.163937589056337,0.808829422569943,-0.173452991998344,-0.100469421048114,0.966229521644577,1.95970132328287,-0.081211998778996,1.17112544281677E-11,-0.0261163589293835,3.28078832222873E-09,-0.743756760299199,-0.801169051411078,-0.210692903712176,0.0270437715835492,-0.250300250915926,-6.38347677342575E-09,-0.230339086063212,-0.361922082933906,0,-0.248172739769607,-0.13235324590295,-0.101257812858286,-0.108994368245295,-0.661849090391934,-4.12300103256777E-79,-0.186208869559265,-0.225898470617309,-0.234696787185468,-0.114160714087021,-5.18835388124354E-10,-0.0996935028458943,-0.003475683420006,-0.830778884710663,-0.0553560029403007,-0.0824992947290649,-0.469518145342547,0,-0.0015533615872199,-0.19890775785122,-0.19178286290863
s10,Consensus_class_1,-0.332548324854877,-0.28578629299964,0.344161249971271,1.815414456904E-08,0.251969079898804,1.16035149913289,0.753986922583371,-0.313700763000467,2.35990597644137,-3.71974135189875E-05,0.772165814515203,-0.322962289497394,0.0874735858996956,1.45979503389083,4.79077905557071E-08,3.58285517277689,-0.641891517870805,3.45026349653405,-0.343457183915706,0.722094142828816,-0.676662934752489,1.97028006839852,-0.246862661535692,-0.0312331658619968,2.8129712444045,2.80575690521818,-0.358250860209058,0.107748038834006,-0.0052819738664154,0.205206064915759,-0.769522593805955,-0.34307286577131,-0.505132881355605,-0.405159914714087,-0.037879194325282,-0.0979470470829529,-0.0719964058196702,-0.0038368000272394,-0.85462946803032,-0.27179963801343,-0.354967797361146,0.174216658261186,-0.22454445636968,-0.663510092216821,-9.03750849786182E-09,-0.370293403435834,-0.431469898429976,-0.431469898429976,-0.0692151267875204,-5.92103814787907E-07,-0.2606184286763,-0.731028691502932,-0.035145187416754,-0.215947771724069,-0.129639147881278,-0.18522743739901,-0.0024892692374566,-0.0001074848555979,-0.255491657644764,-0.30496871433812
